timeScraped,playersOnline
1637051165.1753278,4
1637051195.190517,4
1637051225.0534124,4
1637051255.1284428,4
1637051285.3191576,4
1637051315.1785252,4
1637051345.3636832,4
1637051375.3309267,4
1637051405.4103386,4
1637051435.2732263,4
1637051465.4463563,4
1637051495.408712,4
1637051525.4913116,4
1637051555.551645,4
1637051585.6139922,4
1637051615.4704757,3
1637051645.6601353,3
1637051675.6335928,3
1637051705.5956495,3
1637051735.7906458,3
1637051765.642498,3
1637051795.7366457,3
1637051825.8148339,3
1637051855.7890873,3
1637051885.8468359,3
1637051915.8205397,3
1637051945.8978376,3
1637051975.8635645,3
1637052006.0526042,3
1637052036.0224693,3
1637052066.0984993,3
1637052095.9605198,3
1637052126.1456907,2
1637052156.0086288,2
1637052186.1956396,2
1637052216.1466782,2
1637052246.2243261,2
1637052276.3006516,2
1637052306.2695715,2
1637052336.3471751,2
1637052366.3153992,2
1637052396.3947291,2
1637052426.3524733,2
1637052456.5361898,2
1637052486.5044026,2
1637052516.585591,2
1637052546.5516667,2
1637052576.4725506,2
1637052606.6639628,2
1637052636.628334,2
1637052666.7084422,2
1637052696.6586623,2
1637052726.6264615,2
1637052756.8016176,2
1637052786.879267,2
1637052816.737761,2
1637052846.9113486,2
1637052876.8683257,2
1637052906.9443862,2
1637052936.9125955,2
1637052967.0954893,2
1637052996.957419,2
1637053027.1427476,2
1637053057.1134863,2
1637053087.0855138,2
1637053117.1631322,2
1637053147.1302915,2
1637053177.2117982,2
1637053207.2889183,2
1637053237.2524657,2
1637053267.2236016,2
1637053297.4136322,2
1637053327.2698796,2
1637053357.45542,1
1637053387.53963,1
1637053417.5079062,1
1637053447.4712481,1
1637053477.4449377,1
1637053507.5184228,1
1637053537.4898446,1
1637053567.5688417,1
1637053597.6457894,1
1637053627.7238057,1
1637053657.6950119,1
1637053687.6644602,1
1637053717.8498328,1
1637053747.924897,1
1637053777.8944,1
1637053807.971724,1
1637053837.943473,1
1637053868.0186067,2
1637053897.9708347,2
1637053927.9438133,2
1637053958.0196314,1
1637053988.0967631,1
1637054018.1798072,1
1637054048.03668,1
1637054078.2240603,1
1637054108.1926978,1
1637054138.3069694,2
1637054168.273982,2
1637054198.336656,2
1637054228.303541,2
1637054258.3824813,2
1637054288.3458824,2
1637054318.423794,2
1637054348.3977969,2
1637054378.4797206,2
1637054408.5486758,2
1637054438.5174553,2
1637054468.5994694,2
1637054498.6788862,2
1637054528.6477058,2
1637054558.7298386,2
1637054588.7996025,2
1637054618.76962,2
1637054648.7378428,2
1637054678.8149161,2
1637054708.788294,2
1637054738.9749534,2
1637054768.9456582,2
1637054798.9125266,2
1637054828.986883,2
1637054858.940012,2
1637054889.021419,1
1637054918.9866009,1
1637054949.1739023,1
1637054979.1436963,1
1637055009.223618,1
1637055039.1923184,1
1637055069.2724116,1
1637055099.3527036,1
1637055129.2065365,1
1637055159.2833972,1
1637055189.3646183,2
1637055219.4284093,2
1637055249.3815565,2
1637055279.3483472,2
1637055309.5345476,1
1637055339.505694,1
1637055369.5815542,1
1637055399.6597128,1
1637055429.6339517,1
1637055459.70673,2
1637055489.6778336,2
1637055519.7529614,1
1637055549.8328135,1
1637055579.6897147,1
1637055609.7696476,1
1637055639.8499,1
1637055670.0346591,1
1637055700.0067725,1
1637055729.9769604,1
1637055760.0497863,1
1637055790.0226736,1
1637055820.0975697,1
1637055850.0727355,1
1637055880.0396903,1
1637055910.1115422,1
1637055940.192114,1
1637055970.2712052,1
1637056000.2378829,1
1637056030.3156013,1
1637056060.3963587,1
1637056090.3617976,1
1637056120.336735,1
1637056150.3041365,1
1637056180.382987,1
1637056210.4559953,1
1637056240.534595,1
1637056270.6177914,1
1637056300.580972,1
1637056330.6596103,1
1637056360.6322281,1
1637056390.598856,1
1637056420.673928,1
1637056450.6465323,1
1637056480.7233653,1
1637056510.8018758,1
1637056540.8797848,1
1637056570.8457296,1
1637056600.9248786,1
1637056631.0099075,1
1637056660.8636456,1
1637056690.9419255,1
1637056720.9124966,1
1637056750.9908426,1
1637056781.0707896,1
1637056811.1582305,2
1637056841.2370157,2
1637056871.2099268,1
1637056901.2888772,1
1637056931.2535741,1
1637056961.3338914,2
1637056991.1953745,2
1637057021.3675742,1
1637057051.4439642,1
1637057081.4147172,1
1637057111.491683,1
1637057141.350904,1
1637057171.42543,1
1637057201.6138809,2
1637057231.5289347,2
1637057261.644,2
1637057291.5076988,2
1637057321.6935673,2
1637057351.7721403,2
1637057381.7418728,2
1637057411.820062,2
1637057441.7847593,2
1637057471.8626099,2
1637057501.7268894,2
1637057531.9145417,2
1637057561.989899,2
1637057591.9717956,2
1637057622.0526574,2
1637057652.0190265,2
1637057682.0965679,2
1637057712.0538108,2
1637057742.0078185,2
1637057772.1899397,2
1637057802.158795,2
1637057832.1305776,2
1637057862.2055686,2
1637057892.1761222,2
1637057922.365799,2
1637057952.333842,2
1637057982.4116898,3
1637058012.3820312,3
1637058042.3466196,3
1637058072.4269743,3
1637058102.3950326,3
1637058132.5808644,3
1637058162.440171,3
1637058192.632954,3
1637058222.599732,3
1637058252.5698524,3
1637058282.754622,2
1637058312.7207913,2
1637058342.7997973,2
1637058372.7705398,2
1637058402.8505986,2
1637058432.7715254,3
1637058462.851177,3
1637058492.928145,3
1637058522.898754,3
1637058552.9717925,3
1637058582.9417396,3
1637058613.018693,3
1637058643.1169753,3
1637058673.0836987,3
1637058703.1586914,3
1637058733.131399,3
1637058763.2097945,3
1637058793.2691004,3
1637058823.2608466,3
1637058853.230878,3
1637058883.3036764,3
1637058913.3826208,3
1637058943.3516984,3
1637058973.4447496,3
1637059003.2988422,3
1637059033.470579,3
1637059063.4335122,3
1637059093.5088766,3
1637059123.4896796,3
1637059153.57107,3
1637059183.5387454,3
1637059213.7089128,3
1637059243.6751444,3
1637059273.7725668,3
1637059303.7402806,3
1637059333.6926734,3
1637059363.8839946,3
1637059393.8516436,3
1637059423.924005,3
1637059453.988563,3
1637059483.8515668,3
1637059514.0396574,3
1637059543.8948705,3
1637059574.0658486,3
1637059604.144487,3
1637059634.099584,3
1637059664.0488987,3
1637059694.223412,3
1637059724.1773345,4
1637059754.257605,4
1637059784.117953,4
1637059814.2985635,4
1637059844.2857492,4
1637059874.3475933,4
1637059904.440709,4
1637059934.3818612,5
1637059964.4445467,4
1637059994.5366385,5
1637060024.504598,5
1637060054.5846772,5
